winery,wine,year,is_non_vintage,rating,num_reviews,region,region_grouped,price,price_log,type,body,acidity
Teso La Monja,Tinto,2013,FALSE,4.9,58,Toro,Toro,995.0,2.9978,Toro Red,5,3
Artadi,Vina El Pison,2018,FALSE,4.9,31,Vino de Espana,Vino de Espana,313.5,2.4962,Tempranillo,4,2
Vega Sicilia,Unico,2009,FALSE,4.8,1793,Ribera del Duero,Ribera del Duero,324.95,2.5118,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1999,FALSE,4.8,1705,Ribera del Duero,Ribera del Duero,692.96,2.8407,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1996,FALSE,4.8,1309,Ribera del Duero,Ribera del Duero,778.06,2.891,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1998,FALSE,4.8,1209,Ribera del Duero,Ribera del Duero,490.0,2.6902,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2010,FALSE,4.8,1201,Ribera del Duero,Ribera del Duero,349.0,2.5428,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1995,FALSE,4.8,926,Ribera del Duero,Ribera del Duero,810.89,2.909,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2015,FALSE,4.8,643,Ribera del Duero,Ribera del Duero,345.0,2.5378,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,2011,FALSE,4.8,630,Ribera del Duero,Ribera del Duero,315.0,2.4983,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2016,FALSE,4.8,591,Ribera del Duero,Ribera del Duero,514.85,2.7117,Ribera Del Duero Red,5,3
Pago de Carraovejas,El Anejon,2016,FALSE,4.8,454,Ribera del Duero,Ribera del Duero,105.15,2.0218,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2018,FALSE,4.8,438,Ribera del Duero,Ribera del Duero,430.0,2.6335,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1970,FALSE,4.8,417,Ribera del Duero,Ribera del Duero,925.0,2.9661,Ribera Del Duero Red,5,3
Toro Albala,Don PX Convento Seleccion,1946,FALSE,4.8,398,Montilla-Moriles,Other,350.0,2.5441,Pedro Ximenez,5,1
Pago de Carraovejas,Cuesta de Las Liebres,2015,FALSE,4.8,372,Ribera del Duero,Ribera del Duero,166.18,2.2206,Ribera Del Duero Red,5,3
Vega Sicilia,Unico,1962,FALSE,4.8,295,Ribera del Duero,Ribera del Duero,1620.0,3.2095,Ribera Del Duero Red,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2019,FALSE,4.8,250,Ribera del Duero,Ribera del Duero,431.36,2.6348,Ribera Del Duero Red,5,3
Bodegas El Nido,El Nido,2018,FALSE,4.8,217,Jumilla,Other,195.627379550654,2.2914,Red,4,3
Vega Sicilia,Unico Reserva Especial Edicion,2004,FALSE,4.8,211,Ribera del Duero,Ribera del Duero,824.43,2.9162,Ribera Del Duero Red,5,3
